번호,학과명,대출일자,입학년도,서명,출판년도,저자,출판사,청구기호
AJ1107642,수학전공,20130216,2010,정의란 무엇인가,2010,"Sandel, Michael J",김영사,172.2 S214jK이
AJ1103904,수학전공,20110727,2008,정의란 무엇인가,2010,"Sandel, Michael J",김영사,172.2 S214jK이
AJ1104219,화학전공,20110601,2010,정의란 무엇인가,2010,"Sandel, Michael J",김영사,172.2 S214jK이
AJ1100772,화학전공,20140716,2007,리더를 위한 논리훈련,2010,송하석,사피엔스21,160 송92리2
AJ1103197,화학전공,20140630,2009,리더를 위한 논리훈련,2010,송하석,사피엔스21,160 송92리2
AJ1103401,화학전공,20140902,2009,리더를 위한 논리훈련,2010,송하석,사피엔스21,160 송92리2
AJ1107890,수학전공,20130313,2012,화성에서 온 남자 금성에서 온 여자,2005,"Gray, John",친구미디어,158.2 G793tK김
AJ1105685,화학전공,20110707,2011,꿈꾸는 다락방,2009,이지성,국일,158.1 이78꿈국
AJ1102881,수학전공,20141006,2009,(현대생활의) 적응과 정신건강,2001,이민규,교육과학사,158.1 이38적
AJ1100773,수학전공,20131208,2007,습관의 힘,2012,"Duhigg, Charles",웅진씽크빅,158.1 D871pK강
AJ1107655,화학전공,20130430,2010,카네기 인간관계론,2007,"Carnegie, Dale",씨앗을뿌리는사람,158.1 C289hK최
AJ1104967,화학전공,20120622,2011,지금 외롭다면 잘 되고 있는 것이다,2011,한상복,위즈덤하우스,158 한52지
AJ1107249,수학전공,20121009,2012,화성에서 온 남자 금성에서 온 여자,1997,"Gray, John",친구미디어,156 G778mK김개
AJ1107246,물리학전공,20121128,2012,생각의 탄생,2007,"Root-Bernstein, Robert",에코의서재,153.9 R783sK박
AJ1110908,수학전공,20140613,2014,설득의 심리학,2005,"Cialdini, R. B",21세기북스,153.852 C436i4K이
AJ1103904,수학전공,20110727,2008,생각 버리기 연습,2010,소지룡지개,북이십일 21세기북스,153.2 소78고K유 v.1
AJ1107646,수학전공,20131113,2010,(사랑과 연애의 달인) 호모 에로스,2008,고미숙,그린비,152.41 고38호
AJ1107247,화학전공,20131125,2012,사랑의 기술,1989,"Fromm, Erich",瑞音出版社,152.4 F932AK김
AJ1102315,수학전공,20140602,2008,(마이어스의) 심리학개론,2008,"Myers, David G",시그마프레스,150 M996p8K신시
AJ1101511,화학전공,20131125,2008,사랑의 기술,1987,"프롬, 에리히",自由文學社,128.4 프295사K황
AJ1108947,수학전공,20141105,2013,구조적 프로그래밍을 위한 C언어,2010,"Forouzan, Behrouz A",센게이지러닝코리아,005.133 F727s3K고
AJ1103126,물리학전공,20110418,2009,Computer science,2001,"Forouzan, Behrouz A",Brooks/Cole,005.133 F727c2
AJ1105671,물리학전공,20141126,2011,컴퓨터 구조,2007,오상엽,이한,004.22 오52컴2
AJ1105644,물리학전공,20141028,2010,IT 천재들,2011,이재구,미래의창,004.092 이73i
AJ1107643,수학전공,20130219,2010,지금 시작하는 인문학,2012,주현성,더좋은책,001.3 주94지
