,번호,학과명,대출일자,입학년도,서명,출판년도,저자,출판사,청구기호
1081,AJ1110159,e-비즈니스학전공,20141119,2014,계량경영학의 이해,2005,최성용,21세기법경사,658.4033 최54계3
1085,AJ1111024,경영학전공,20140401,2012,계량경영학,2009,김명호,大經,658.4033 김34계개2
1086,AJ1102218,경영학전공,20130905,2008,계량경영학,2009,김명호,大經,658.4033 김34계개2
1087,AJ1102507,경영학전공,20121127,2009,계량경영학,2007,김명호,大經,658.4033 김34계
1090,AJ1111064,경영학전공,20140922,2014,(켈러의) 경영경제통계학,2009,"Keller, Gerald",THOMSON,658.4033 K29s8K이
1091,AJ1108191,경영학전공,20131122,2011,(켈러의) 경영경제통계학,2009,"Keller, Gerald",THOMSON,658.4033 K29s8K이
1094,AJ1102569,경영학전공,20130306,2009,(켈러의) 경영경제통계학,2009,"Keller, Gerald",THOMSON,658.4033 K29s8K이
1098,AJ1105781,경영학전공,20110830,2011,(켈러의) 경영경제통계학,2009,"Keller, Gerald",THOMSON,658.4033 K29s8K이
1099,AJ1110637,경영학전공,20141006,2014,(켈러의) 경영경제통계학,2006,"Keller, Gerald",톰슨코퍼레이션코리아,658.4033 K29s7K이
1101,AJ1111037,경영학전공,20140313,2012,(켈러의) 경영경제통계학,2006,"Keller, Gerald",톰슨코퍼레이션코리아,658.4033 K29s7K이
1103,AJ1110582,경영학전공,20141007,2014,(켈러의) 경영경제통계학,2006,"Keller, Gerald",톰슨코퍼레이션코리아,658.4033 K29s7K이
