,번호,학과명,대출일자,입학년도,서명,출판년도,저자,출판사,청구기호
449,AJ1103351,경영학전공,20140407,2009,오페라로 배우는 역사와 문화,2010,고종환,푸른사상사,782.1 고75오
459,AJ1102483,경영학전공,20121109,2009,오페라로 배우는 역사와 문화,2010,고종환,푸른사상사,782.1 고75오
462,AJ1101397,e-비즈니스학전공,20111206,2007,오페라로 배우는 역사와 문화,2010,고종환,푸른사상사,782.1 고75오
463,AJ1100298,경영학전공,20110923,2006,오페라로 배우는 역사와 문화,2010,고종환,푸른사상사,782.1 고75오
485,AJ1110179,경영학전공,20140612,2014,서양건축사,2007,임석재,북하우스,720.94 임54기
497,AJ1103807,경영학전공,20140403,2009,서양건축사,2003,"Jordan, Furneaux R",技文堂,720.94 J82wK정
504,AJ1103807,경영학전공,20140612,2009,서양 건축 이야기,2004,빌 리제베로,한길아트,720.9 R595stK오
743,AJ1102559,경영학전공,20140723,2009,광고천재 이제석,2010,이제석,학고재,659.1092 이74광
748,AJ1107910,경영학전공,20130508,2012,광고천재 이제석,2010,이제석,학고재,659.1092 이74광
750,AJ1108538,경영학전공,20130614,2013,광고천재 이제석,2010,이제석,학고재,659.1092 이74광
752,AJ1101223,e-비즈니스학전공,20130305,2007,광고천재 이제석,2010,이제석,학고재,659.1092 이74광
756,AJ1104528,경영학전공,20120529,2010,광고천재 이제석,2010,이제석,학고재,659.1092 이74광
777,AJ1105933,경영학전공,20110923,2011,인문학으로 광고하다,2009,박웅현,알마,659.1 박66인
780,AJ1110111,경영학전공,20140516,2014,생각하는 미친놈,2011,박서원,센추리원,659.1 박54생
784,AJ1106527,경영학전공,20120904,2011,생각하는 미친놈,2011,박서원,센추리원,659.1 박54생
788,AJ1105789,경영학전공,20130617,2011,소비자 행동론,2005,임종원,經文社,658.8342 소48임2
789,AJ1105159,경영학전공,20121127,2010,소비자 행동론,2005,임종원,經文社,658.8342 소48임2
790,AJ1102517,경영학전공,20120610,2009,소비자 행동론,1994,임종원,經文社,658.8342 소48임
792,AJ1104556,경영학전공,20120430,2010,소비자 행동론,2003,"Solomon, Michale R",브레인코리아,658.8342 S689c3K리
794,AJ1101843,경영학전공,20141001,2008,소비자행동론,2005,"Assael, Henry",한티미디어,658.8342 A844cK김
795,AJ1100793,경영학전공,20131203,2007,소비자행동론,2005,"Assael, Henry",한티미디어,658.8342 A844cK김
796,AJ1107909,경영학전공,20131202,2012,소비자행동론,2005,"Assael, Henry",한티미디어,658.8342 A844cK김
797,AJ1104338,경영학전공,20121126,2010,소비자행동론,2005,"Assael, Henry",한티미디어,658.8342 A844cK김
799,AJ1100999,경영학전공,20140313,2007,소비자행동론,1998,"Assael, Henry",석정,658.8342 A844c6K윤
800,AJ1102218,경영학전공,20131022,2008,소비자행동론,1998,"Assael, Henry",석정,658.8342 A844c6K윤
801,AJ1101040,경영학전공,20130612,2007,소비자 행동론,2006,임종원,經文社,658.834 소48임3
802,AJ1104979,경영학전공,20130404,2011,소비자 행동론,2006,임종원,經文社,658.834 소48임3
805,AJ1101931,경영학전공,20111004,2008,소비자 행동론,2006,임종원,經文社,658.834 소48임3
806,AJ1103582,경영학전공,20110914,2009,소비자 행동론,2006,임종원,經文社,658.834 소48임3
807,AJ1107056,경영학전공,20141201,2012,Consumer behavior,2007,"Schiffman, Leon G",Pearson Prentice Hall,658.834 S333c9
810,AJ1102571,경영학전공,20111214,2009,Consumer behavior,2007,"Schiffman, Leon G",Pearson Prentice Hall,658.834 S333c9
811,AJ1102556,경영학전공,20110608,2009,Consumer behavior,2007,"Schiffman, Leon G",Pearson Prentice Hall,658.834 S333c9
812,AJ1107905,경영학전공,20141007,2012,Consumer behavior,2010,"Schiffman, Leon G",Pearson Prentice Hall,658.834 S333c10g
813,AJ1106248,경영학전공,20140929,2011,Consumer behavior,2010,"Schiffman, Leon G",Pearson Prentice Hall,658.834 S333c10g
815,AJ1105190,e-비즈니스학전공,20131121,2010,Consumer behavior,2010,"Schiffman, Leon G",Pearson Prentice Hall,658.834 S333c10g
816,AJ1102554,경영학전공,20130304,2009,Consumer behavior,2010,"Schiffman, Leon G",Pearson Prentice Hall,658.834 S333c10g
817,AJ1102406,경영학전공,20120225,2008,Consumer behavior,2010,"Schiffman, Leon G",Pearson Prentice Hall,658.834 S333c10g
818,AJ1104528,경영학전공,20120329,2010,Consumer behavior,1978,"Schiffman, Leon G",Prentice-Hall,658.834 S333C
819,AJ1108185,경영학전공,20140404,2011,Consumer behavior,2004,"Assael, Henry",Houghton Mifflin,658.834 A844c
820,AJ1107799,경영학전공,20131031,2012,Consumer behavior,2004,"Assael, Henry",Houghton Mifflin,658.834 A844c
821,AJ1100610,경영학전공,20130902,2006,Consumer behavior,2004,"Assael, Henry",Houghton Mifflin,658.834 A844c
822,AJ1107158,경영학전공,20130617,2010,Consumer behavior,2004,"Assael, Henry",Houghton Mifflin,658.834 A844c
