번호,학과명,대출일자,입학년도,서명,출판년도,저자,출판사,청구기호
AJ1101998,건설시스템공학전공,20130620,2008,기초공학,2005,이상덕,새론,624.15 이52기새
AJ1101897,건설시스템공학전공,20130619,2008,기초공학,2005,이상덕,새론,624.15 이52기새
AJ1100511,건설시스템공학전공,20111222,2006,기초공학,2005,이상덕,새론,624.15 이52기새
AJ1101820,건설시스템공학전공,20110407,2006,기초공학,2005,이상덕,새론,624.15 이52기새
AJ1104034,건설시스템공학전공,20140926,2010,기초공학,2011,이상덕,새론,624.15 이52기2
AJ1104171,건설시스템공학전공,20141203,2010,기초공학,2008,송영우,구미서관,624.15 송64기
AJ1103983,건설시스템공학전공,20121128,2010,기초공학,2008,송영우,구미서관,624.15 송64기
AJ1103744,건설시스템공학전공,20141120,2009,기초공학,2008,"Das, Braja M",센게이지러닝코리아,624.15 D229p6K신6
AJ1107138,건설시스템공학전공,20121129,2010,기초공학,2008,"Das, Braja M",센게이지러닝코리아,624.15 D229p6K신6
AJ1101177,건설시스템공학전공,20111211,2007,기초공학,2008,"Das, Braja M",센게이지러닝코리아,624.15 D229p6K신6
AJ1105717,건설시스템공학전공,20111016,2009,수리수문학,2002,박영태,성안당,624.076 토35성v.2
AJ1104188,건설시스템공학전공,20140614,2010,토질 및 기초,2002,박영태,성안당,624.076 토35성v.1
AJ1103617,건설시스템공학전공,20131220,2009,토질 및 기초,2002,박영태,성안당,624.076 토35성v.1
AJ1101177,건설시스템공학전공,20110414,2007,토질 및 기초,2002,박영태,성안당,624.076 토35성v.1
AJ1106372,건설시스템공학전공,20140617,2011,수리수문학,2008,심기오,한솔아카데미,624.076 수298심7
AJ1101177,건설시스템공학전공,20110322,2007,수리수문학,2008,심기오,한솔아카데미,624.076 수298심7
AJ1101064,건설시스템공학전공,20120510,2007,수리수문학,2006,박영태,한국고시회,624.076 박64수개2
AJ1101395,건설시스템공학전공,20110414,2007,수리수문학,2006,박영태,한국고시회,624.076 박64수개2
AJ1104181,건설시스템공학전공,20140610,2010,수리수문학,2002,박영태,한국고시회,624.076 박64수2
AJ1104181,건설시스템공학전공,20141119,2010,(신편) 기계공작법,2007,기계공작법 교재편찬위원회,북스힐,621.8 기14기개
AJ1104183,건설시스템공학전공,20141119,2010,(신편) 기계공작법,2007,기계공작법 교재편찬위원회,북스힐,621.8 기14기개
