,번호,학과명,대출일자,입학년도,서명,출판년도,저자,출판사,청구기호
6854,AJ1101486,국어국문학과,20121011,2008,Science and religion,2002,"Ferngren, Gary B",Johns Hopkins University Press,291.1754 F364s
6892,AJ1107017,문화콘텐츠학전공,20140915,2012,향연,2008,Plato,서해문집,184 P718향
6898,AJ1107111,문화콘텐츠학전공,20141231,2012,향연,2010,Platon,이제이북스,184 P718sK강
6901,AJ1104958,불어불문학전공,20130528,2009,향연,2010,Platon,이제이북스,184 P718sK강
6910,AJ1105037,국어국문학과,20130305,2010,(플라톤의) 국가(正體),2008,Platon,서광사,184 P718pK박개증
6917,AJ1109948,문화콘텐츠학전공,20140508,2014,논어,2006,공자,성균관대학교 출판부,181.2183 공72논어 v.1
6918,AJ1109903,문화콘텐츠학전공,20141023,2014,논어,2006,공자,성균관대학교 출판부,181.2183 공72논어 v.1
6921,AJ1109247,문화콘텐츠학전공,20141022,2013,논어,2012,공자,안티쿠스,181.2183 공72논K한
6933,AJ1108007,불어불문학전공,20131007,2012,논어,2010,공자,신원문화사,181.2183 공72논K김신
6938,AJ1109868,불어불문학전공,20141125,2014,역사 속의 성리학,2010,"Bol, Peter Kees",예문서원,181.2 B687nK김
6939,AJ1104520,불어불문학전공,20131121,2010,역사 속의 성리학,2010,"Bol, Peter Kees",예문서원,181.2 B687nK김
6942,AJ1102107,불어불문학전공,20120502,2008,역사 속의 성리학,2010,"Bol, Peter Kees",예문서원,181.2 B687nK김
6945,AJ1106767,국어국문학과,20120307,2011,역사 속의 성리학,2010,"Bol, Peter Kees",예문서원,181.2 B687nK김
6952,AJ1105044,문화콘텐츠학전공,20141231,2010,논어,2007,공자,홍익,181.112 공72논개
6955,AJ1104059,문화콘텐츠학전공,20111024,2010,논어,2007,공자,홍익,181.112 공72논개
6972,AJ1109607,불어불문학전공,20130915,2013,멈추면 비로소 보이는 것들,2012,혜민,쌤앤파커스,179.7 혜38멈
7014,AJ1109657,불어불문학전공,20131202,2013,정의란 무엇인가,2010,"Sandel, Michael J",김영사,172.2 S214jK이
7054,AJ1107548,문화콘텐츠학전공,20120314,2012,니코마코스 윤리학,1984,Aristoteles,서광사,170 A717니K최수
7056,AJ1102841,불어불문학전공,20110413,2009,니코마코스 윤리학,1984,Aristoteles,서광사,170 A717니K최수
7201,AJ1100818,국어국문학과,20131213,2007,습관의 힘,2012,"Duhigg, Charles",웅진씽크빅,158.1 D871pK강
7270,AJ1107049,불어불문학전공,20130528,2012,사랑하고 싶은 스무살 연애하고 싶은 서른살,2011,이철우,한국경제신문,155.3 이83사
7271,AJ1109245,문화콘텐츠학전공,20130926,2013,사랑하고 싶은 스무살 연애하고 싶은 서른살,2011,이철우,한국경제신문,155.3 이83사
7272,AJ1107582,국어국문학과,20120820,2012,사랑하고 싶은 스무살 연애하고 싶은 서른살,2011,이철우,한국경제신문,155.3 이83사
7284,AJ1108837,국어국문학과,20130405,2013,꿈의 해석,1994,"Freud, Sigmund",선영사,154.63 F889tK김선
7308,AJ1102805,문화콘텐츠학전공,20130401,2009,설득의 심리학,1996,"Cialdini, R. B",21세기북스,153.852 C436iK이
7309,AJ1108837,국어국문학과,20130527,2013,설득의 심리학,1996,"Cialdini, R. B",21세기북스,153.852 C436iK이
7319,AJ1108007,불어불문학전공,20150129,2012,설득의 심리학,2005,"Cialdini, R. B",21세기북스,153.852 C436i4K이
7357,AJ1107539,문화콘텐츠학전공,20131101,2012,인지심리학,1999,이정모,학지사,153.4 인78이
7367,AJ1107548,문화콘텐츠학전공,20131025,2012,창의성의 즐거움,2005,"Csikszentmihalyi, Mihaly",북로드,153.35 C958cK노
7379,AJ1104041,문화콘텐츠학전공,20110314,2010,생각 버리기 연습,2010,소지룡지개,북이십일 21세기북스,153.2 소78고K유 v.1
7387,AJ1107539,문화콘텐츠학전공,20131203,2012,인지심리학과 그 응용,2007,"Anderson, John Robert",이화여대출판부,153 A547c4K이
7397,AJ1109721,국어국문학과,20140411,2014,사랑의 기술,2000,"Fromm, Erich",문예,152.4 F932aK황4
7403,AJ1109796,국어국문학과,20140618,2014,사랑의 기술,1990,"Fromm, Erich",도서출판 선비,152.4 F932AK박
7410,AJ1104041,문화콘텐츠학전공,20141013,2010,감각과 지각,2004,"Goldstein, E. Bruce",시그마프레스,152.1 G624s4K정
7412,AJ1101486,국어국문학과,20121203,2008,감각과 지각,2004,"Goldstein, E. Bruce",시그마프레스,152.1 G624s4K정
7423,AJ1107168,문화콘텐츠학전공,20120831,2010,스키너의 심리상자 열기,2005,"Slater, Lauren",에코의서재,150.72 S631oK조
7435,AJ1104955,국어국문학과,20110316,2009,심리학개론,1997,신응섭,博英社,150.1 심298신
7436,AJ1109948,문화콘텐츠학전공,20140708,2014,심리학개론,1994,Kagan,형설출판사,150.1 K11P4K김
7475,AJ1101704,불어불문학전공,20111031,2008,철학 콘서트,2006,황광우,웅진지식하우스,109.2 황15철v.1
7480,AJ1101154,국어국문학과,20130819,2007,철학이 필요한 시간,2011,강신주,사계절,102 강58철강
7512,AJ1105044,문화콘텐츠학전공,20130528,2010,책은 도끼다,2011,박웅현,북하우스,028.1 박66책
7576,AJ1107119,문화콘텐츠학전공,20140902,2012,(C언어로 쉽게 풀어쓴) 자료 구조,2005,천인국,생능,005.73 천68자
7833,AJ1100540,국어국문학과,20111214,2006,(윤성우의) 열혈 C 프로그래밍,2010,윤성우,오렌지미디어,005.133 윤54열개
7854,AJ1102807,문화콘텐츠학전공,20131121,2009,(熱血講義) C 프로그래밍,2007,윤성우,프리렉,005.133 윤54c프
